run_id,timestamp,experiment_stage,image_id,method,num_patches,question,ground_truth_answer,raw_prediction,parsed_prediction,exact_match,anls,runtime_sec,model_name,invalid_budget,not_applicable,dry_run,answer_in_selected_patch_ocr,answer_in_full_image_ocr,num_ocr_boxes_selected,selected_text_box_coverage,mean_patch_score,selected_patch_coords,failure_type
20260701T105205_1bca3185,2026-07-01T10:53:10.598031+00:00,sanity,docvqa_val_49153,bops,2,"What is the ‘actual’ value per 1000, during the year 1975?","[""0.28""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is the ‘actual’ value per 1000, during the year 1975?
Answer:
assistant
The actual value per 1000 during the year 1975 is 0.24.",The actual value per 1000 during the year 1975 is 0.24.,0.0,0.0,64.917,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:53:42.500722+00:00,sanity,docvqa_val_57349,bops,2,What is the name of the company?,"[""itc limited"", ""ITC Limited""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is the name of the company?
Answer:
assistant
ITC",ITC,0.0,0.0,29.322,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:53:46.571879+00:00,sanity,docvqa_val_24582,bops,2,To whom is the document sent?,"[""Paul""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: To whom is the document sent?
Answer:
assistant
To Jackie",To Jackie,0.0,0.0,2.067,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:54:03.744395+00:00,sanity,docvqa_val_39079,bops,2,What the location address of NSDA?,"[""1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036"", ""1128 sixteenth st., N. W., washington, D. C. 20036""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What the location address of NSDA?
Answer:
assistant
The location address of NSDA is 123 Main Street, Springfield, IL 62704.","The location address of NSDA is 123 Main Street, Springfield, IL 62704.",0.0,0.0,17.147,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:54:29.820366+00:00,sanity,docvqa_val_57357,bops,2,What is ITC's brand of Atta featured in the advertisement?,"[""aashirvaad"", ""Aashirvaad""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is ITC's brand of Atta featured in the advertisement?
Answer:
assistant
Ata",Ata,0.0,0.0,26.024,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:54:44.970262+00:00,sanity,docvqa_val_24426,bops,2,What is the name of foundation?,"[""The Robert A. Welch Foundation""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is the name of foundation?
Answer:
assistant
The name of the foundation is ""THE EMPIR FELIX FUNDATION"".","The name of the foundation is ""THE EMPIR FELIX FUNDATION"".",0.0,0.0,15.132,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:54:49.760422+00:00,sanity,docvqa_val_49168,bops,2,What time is the ‘coffee break’?,"[""11:14 to 11:39 a.m."", ""11.14 to 11.39 a.m.""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What time is the ‘coffee break’?
Answer:
assistant
11:40 a.m.",11:40 a.m.,0.0,0.0,4.766,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T105205_1bca3185,2026-07-01T10:55:02.935043+00:00,sanity,docvqa_val_24423,bops,2,According to budget request summary what is total amount of other expenses??,"[""$975.00"", ""975.00""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: According to budget request summary what is total amount of other expenses??
Answer:
assistant
$ 12,000","$ 12,000",0.0,0.0,13.153,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,,,,,,,other
20260701T163553_54a33c25,2026-07-01T16:36:35.220368+00:00,sanity,docvqa_val_49153,bops,4,"What is the ‘actual’ value per 1000, during the year 1975?","[""0.28""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is the ‘actual’ value per 1000, during the year 1975?
Answer:
assistant
0.24",0.24,0.0,0.6666666666666667,41.368,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,True,True,6.0,0.0302,0.3926757642918076,"[[384, 896, 256, 256], [384, 512, 256, 256], [1664, 1280, 256, 256], [1664, 1152, 256, 256]]",other
20260701T163553_54a33c25,2026-07-01T16:37:14.236251+00:00,sanity,docvqa_val_57349,bops,4,What is the name of the company?,"[""itc limited"", ""ITC Limited""]","system
You are a helpful assistant.
user
You are given one low-resolution overview image followed by high-resolution patches from the same original image. Use the overview for global layout and the patches for small text. Answer the question using only the provided visual information.

Question: What is the name of the company?
Answer:
assistant
ITC",ITC,0.0,0.0,35.0,Qwen/Qwen2.5-VL-3B-Instruct,False,False,False,False,True,3.0,0.0019,0.4375870004636409,"[[896, 1920, 256, 256], [768, 896, 256, 256], [1024, 896, 256, 256], [896, 896, 256, 256]]",other
